id,name,access,addr:city,addr:district,addr:housenumber,addr:locality,addr:place,addr:postcode,addr:street,addr:unit,alt_name,barrier,created_by,description,designation,disused:leisure,fee,fence_type,landuse,layer,leisure,location,material,name:ar,name:de,name:en,name:es,name:etymology,name:etymology:description,name:etymology:wikidata,name:fa,name:fr,name:hi,name:ml,name:ta,name:ur,name:zh,noname,official_name,old_name,opening_hours,operator,operator:type,parking,short_name,source,source:boundary,source_ref,toilets:access,tourism,type,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
80950088,Safdarjung's Tomb,,,,,,,,,,,,,,,,,,,,park,,,مزار صفدر جنك,Grabmal Safdar Jangs,,,,,,مقبره صفدر جنگ,,सफ़दरजंग का मक़बरा,,,صفدر جنگ کا مقبره,,,,,,,,,,,,,,,way,,,,Q375624,,en:Tomb of Safdar Jang,28.5878946,77.21252
81352211,India Africa Friendship Rose Garden,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,انڈیا افریقہ فرینڈشپ روز گارڈن,,,,,,,,,,,,,,,way,,,,,,,28.5879201,77.1857085
81352246,Singapore Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5892081,77.1798692
81352253,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5819405,77.1961247
81352255,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.581868,77.1974793
111697092,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6174912,77.2058208
132084114,Char Bagh Najaf Khan Tomb,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,آرامگاه چهار باغ نجف خان,,चार बाग नजफ खान मकबरा,,,,,,,,,,,,,,,,,,way,,,,,,,28.5817694,77.2126613
137823977,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6454238,77.182404
138947067,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6183082,77.20228
154365152,,,,,,,,,,,,,,,Rajindra Park,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.641782,77.1752485
158036606,Sindhi Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6408347,77.1868705
158044047,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6418406,77.1744229
163778460,,,,,,,,,,,,,,,,,yes,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.588713,77.2471019
164675825,Rajiv Chowk Central Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,राजीव चौक सेंट्रल पार्क,രാജീവ് ചൗക്ക് സെൻട്രൽ പാർക്ക്,,,,,,,,,,,,,,,,attraction,way,,,,,"Category:Central_Park,_New_Delhi",,28.6332962,77.2207537
164682370,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.620306,77.2190262
206479422,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6472948,77.1842443
206479423,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6470265,77.1840565
206479424,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6463109,77.1821039
213847283,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.624524,77.2400065
228137190,Jheel Park,yes,,,,,,,,,Kangal Shah Bagh,,,,,yes,,,,,park,surface,,,,,,,,,,,,,,,,,"MP Green Area, Kitchener Lake, Dhaula Kuan",Company Bagh,,Delhi Development Authority,,surface,,,,,private,,way,,,limited,,,,28.5857722,77.1605622
231369838,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,way,,,,,,,28.647424,77.1767825
231369851,Chawla Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,way,,,,,,,28.6482272,77.175508
231414759,Prasad Nagar Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,way,,,,,,,28.646052,77.1772489
259169046,Guru Nanak Dev Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q83322,,,,,,,,,,Shastri Park,Mo-Su 05:00-10:00; Mo-Su 17:00-21:30,,,,,,,,,,way,,,,,,,28.6459652,77.1921035
264768413,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6550342,77.2382533
265828158,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5731876,77.2197514
266768779,Purdah Bagh,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,पर्दा बाग,,,,,,,,,,,,,,,,,,way,,,,,,,28.6486985,77.2402255
266778950,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6498017,77.2365393
266778951,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6506905,77.235072
266778952,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6508102,77.2350482
266778953,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6509502,77.2359948
276292145,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5858327,77.1701617
284169201,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.628277,77.2066065
284185497,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6280207,77.2068611
